epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.86021,3.87445,3.07389,1.2849,0.23237,0.23117,0.13225,0.03932,3.32864,2.22171,1.03972,0.00052,0.00052,0.00052
2,19.424,3.19716,1.48155,0.99499,0.28571,0.41103,0.20291,0.05157,3.2197,3.01645,0.96953,0.00103377,0.00103377,0.00103377
3,27.8149,2.90719,1.31303,0.97706,0.23441,0.42999,0.17585,0.04202,3.42446,2.33067,1.04908,0.0015208,0.0015208,0.0015208
4,36.134,3.04348,1.267,0.96101,0.24891,0.37951,0.22292,0.07391,2.94888,1.792,0.97918,0.0018515,0.0018515,0.0018515
5,44.3606,2.76202,1.17371,0.95936,0.29103,0.4377,0.30102,0.09704,2.82965,1.47096,0.9653,0.001802,0.001802,0.001802
6,57.6763,2.84827,1.18375,0.93633,0.50166,0.53514,0.46496,0.16694,2.51284,1.31329,0.87859,0.0017525,0.0017525,0.0017525
7,70.8893,2.73634,1.12992,0.92196,0.43514,0.52054,0.38517,0.15063,2.48156,1.46747,0.86976,0.001703,0.001703,0.001703
8,83.1406,2.58161,1.08325,0.91107,0.60459,0.58284,0.55186,0.23247,2.30231,1.06767,0.85508,0.0016535,0.0016535,0.0016535
9,97.0619,2.5529,1.07498,0.8843,0.59771,0.58556,0.57015,0.22759,2.31329,0.99667,0.84488,0.001604,0.001604,0.001604
10,107.345,2.44883,1.03513,0.89202,0.67125,0.55637,0.58836,0.23847,2.19884,0.93488,0.83405,0.0015545,0.0015545,0.0015545
11,120.613,2.52647,1.03621,0.87391,0.5372,0.56527,0.5466,0.2145,2.4842,0.9801,0.84456,0.001505,0.001505,0.001505
12,131.369,2.41972,1.01982,0.87907,0.63311,0.66709,0.6729,0.29949,2.1099,0.87216,0.83882,0.0014555,0.0014555,0.0014555
13,139.317,2.2934,0.98448,0.87332,0.6855,0.6246,0.66183,0.28308,2.12463,0.83683,0.84896,0.001406,0.001406,0.001406
14,150.684,2.26826,0.97784,0.87688,0.77197,0.61882,0.66414,0.30658,1.97581,0.82673,0.81942,0.0013565,0.0013565,0.0013565
15,160.484,2.14395,0.92206,0.86402,0.66066,0.61934,0.67139,0.32657,1.94024,0.84097,0.80276,0.001307,0.001307,0.001307
16,168.979,2.18421,0.91479,0.86058,0.7507,0.63122,0.71595,0.35567,1.9759,0.82116,0.81361,0.0012575,0.0012575,0.0012575
17,177.066,2.19617,0.90844,0.85171,0.79637,0.66613,0.74563,0.38303,1.8489,0.76498,0.78558,0.001208,0.001208,0.001208
18,185.165,2.12742,0.87168,0.84831,0.7458,0.67001,0.73431,0.39103,1.80066,0.74771,0.78042,0.0011585,0.0011585,0.0011585
19,193.949,2.12608,0.85534,0.84272,0.73506,0.70082,0.75938,0.39219,1.83074,0.76191,0.78515,0.001109,0.001109,0.001109
20,202.306,2.07079,0.86206,0.84197,0.76881,0.69489,0.75392,0.39713,1.78653,0.73722,0.77317,0.0010595,0.0010595,0.0010595
21,212.903,2.27815,0.88094,0.84492,0.73143,0.64651,0.70892,0.34506,1.98411,0.7879,0.78696,0.00101,0.00101,0.00101
22,220.934,2.11639,0.87598,0.84151,0.80919,0.71817,0.76391,0.40438,1.80099,0.70966,0.77604,0.0009605,0.0009605,0.0009605
23,230.376,2.00843,0.82279,0.82724,0.79515,0.69891,0.7581,0.41187,1.75947,0.74318,0.7875,0.000911,0.000911,0.000911
24,238.469,2.02325,0.82554,0.83022,0.75929,0.73893,0.78055,0.41861,1.74154,0.68713,0.77033,0.0008615,0.0008615,0.0008615
25,247.24,1.98985,0.80426,0.82684,0.74925,0.74872,0.78682,0.411,1.75696,0.70205,0.77035,0.000812,0.000812,0.000812
26,255.394,1.88935,0.78614,0.83361,0.82439,0.73848,0.7907,0.4412,1.69685,0.68936,0.78334,0.0007625,0.0007625,0.0007625
