Class Index,Serial Number,Application Date,International Priority Date,By Consent Trademark Numbers,Description,Company Name,Agent Details
11,TM2019034151,17 September 2019,,,"STRIKER ELECTRIC (SABAH) SDN BHD ; No.107, Jalan 2/149g, Taman Sri Endah, 57000 Kuala Lumpur, MALAYSIA Office Ekocheras Office Suites, 693, Jalan Cheras, Batu 5, 56000 Cheras, Kuala Lumpur",,"Tee Lin Yik, Tee IP Sdn Bhd,  A-23-01, Penthouse Office Ekocheras Office Suites, 693, Jalan Cheras, Batu 5, 56000 Cheras, Kuala Lumpur"
16,TM2019046802,18 December 2019,,,"Advertisement boards of paper or cardboard; blackboard; blotters, blueprints, bookbinding apparatus and machines, books, catalogues, comic books, magazines [periodicals]; printed matter, printed publications, printing blocks; all LAW KIAN LAI ; No.40, Jalan Utama 26, Taman Mutiara Rini 81300 Skudai, Johor, MALAYSIA Mutiara Rini, 81300 Skudai, Johor",,"Loo Nic Kee, No. 40, Jalan Utama 26 Taman Mutiara Rini, 81300 Skudai,  Johor"
21,TM2019047229,20 December 2019,,,"Tableware, other than knives, forks and spoons; Chopsticks; Glassware for household purposes; Chinaware; China ornaments; Tea services [tableware]; Straws for drinking; Boxes for dispensing paper towels; Combs; Toothbrushes; Toothpicks; Cosmetic utensils; Thermally insulated containers for food; Portable cool boxes, non-electric; Isothermic bags; Cloths for cleaning; Crystal [glassware]; Drinking troughs; Indoor aquaria; Insect traps; Drinking vessels; Vacuum bottles; Heat-insulated containers; All RAJAX NETWORK & TECHNOLOGY (SHANGHAI) CO., LTD. ; Room 507, No. 788 Zhenbei Road, Putuo District, Shanghai, CHINA 23rd Floor, Surian Tower, No. 1 Jalan PJU 7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor 2018071201 12 October 2018 It is a condition of registration that the device or devices of cross appearing in the mark shall not be used in the colour red or white on a red background or silver on a red background or in any similar colour or colours. Cleaning of blast furnaces, incineration installations, using explosion procedures, particularly gas explosion procedures; BANG & CLEAN GMBH ; Bünzweg 15, 5504 Othmarsingen, SWITZERLAND Caroline Sha & Syah, Level 31, Menara TH Perdana 1001, Jalan Sultan Ismail, 50250 Kuala Lumpur",,"Tan Sin Su, Quality Oracle Sdn. Bhd.; Unit 23.3, 23rd Floor, Surian Tower, No. 1 Jalan PJU 7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor"
43,TM2018016397,7 December 2018,"11 September 2018,",,"Japan Providing foods and beverages; Providing foods and beverages mainly for yakiniku cuisine; Providing information about providing foods and beverages mainly for yakiniku DINING INNOVATION LTD. (KABUSHIKI KAISHA DINNING INNOVATION) ; Ebisuminamil-11-2, Shibuya-Ku, Tokyo, JAPAN Wisma UOA Damansara 50 Jalan Dungun, Damansara Heights, 50490 Kuala Lumpur",,"Teh Hong Koon, Skrine Unit No. 50-8-1, 8th. Floor, Wisma UOA Damansara 50 Jalan Dungun, Damansara Heights,  50490 Kuala Lumpur"
43,TM2018016395,7 December 2018,"10 August 2018, Japan",,"The transliteration and translation of the japanese characters appearing in the mark is ""yakiniku"", ""raiku"" meaning ""japanese dish of grill meat"", ""like"" Providing foods and beverages; Providing foods and beverages mainly for yakiniku cuisine; Providing information about providing foods and beverages mainly for yakiniku DINING INNOVATION LTD. (KABUSHIKI KAISHA DINNING INNOVATION) ; Ebisuminamil-11-2, Shibuya-Ku, Tokyo, JAPAN 8th Floor, Wisma UOA Damansara, 50 Jalan Dungun, Damansara Heights, 50490 Kuala Lumpur",,"Charmayne Ong Poh Yin, Skrine; Unit No. 50-8-1, 8th Floor, Wisma UOA Damansara, 50 Jalan Dungun, Damansara Heights, 50490 Kuala Lumpur"
43,TM2018019433,31 December 2018,,,"2015065552. The transliteration of the chinese characters appearing in the mark is 'wang jin lian ji' which has no meaning. Accommodation reservation services; Arranging of temporary accommodation; Arranging of meals; Cafe services; Cafes; Cafeteria services; Canteen services; Catering services; Cooking services; Food and drink catering; Food cooking services; Food preparation; Mobile catering services; Preparation of food and drink; Preparation of meals; Provision of restaurant booking or reservations from customer loyalty and frequent buyer schemes; Restaurant reservation services; Restaurant services; Restaurants; Salad bar restaurant services; Self-service restaurants; Snack bars (provision of food and drink); Takeaway food and KIM LIAN KEE RESTAURANT SDN. BHD. ; No. 27, Jalan Budiman, Budiman Business Park, 43000 Kajang, Selangor, MALAYSIA Office Ekocheras Office Suites, 693, Jalan Cheras, Batu 5, 56000 Cheras, Kuala Lumpur",,"Tee Lin Yik, Tee IP Sdn Bhd,  A-23-01, Penthouse Office Ekocheras Office Suites, 693, Jalan Cheras, Batu 5, 56000 Cheras, Kuala Lumpur"
,TM2020029828,10 December 2020,,,"The trade mark is limited to the colours as shown in the representation on the form of application. exclusive use of the word ‘micronutrients’. Fertilizers; Calcium cyanamide [fertilizer]; Fertilizing preparations; Fish meal fertilizers; Seaweeds [fertilizers]. WASTECH MULTIGREEN SDN. BHD. ; No. 18, Jalan Anggerik Vanilla Z31/Z, Kota Kemuning, 40460 Shah Alam, Selangor, MALAYSIA 3, Block I, Setiawalk, Persiaran Wawasan Pusat Bandar Puchong, 47160 Puchong, Selangor",,"Chung Chee Yien, NBS Intellectual Sdn. Bhd. I-3- 3, Block I, Setiawalk, Persiaran Wawasan Pusat Bandar Puchong, 47160 Puchong, Selangor"
1,TM2022016770,5 July 2022,,,"Disclaimer: ""agritech"" Agricultural chemicals; Chemical fertilisers; Compound fertilisers; Fertilisers; Liquid fertilisers; Soil conditioners for agricultural purposes; Synthetic fertilizers for agricultural purposes. FAS AGRITECH (M) SDN. BHD. ; Unit 2-1, Level 2, The Podium, Tower 3, Uoa Business Park, No.1, Jalan Pengaturcara U1/51a, Seksyen U1, 40150 Shah Alam, Selangor, MALAYSIA Block C, Jalan Dataran SD 1 Dataran SD PJU 9, Bandar Sri Damansara, 52200 Kuala Lumpur Albumin [animal or vegetable, raw material]; Animal albumen of animal feed; Enzymes to assist in digestion for use in the manufacture of animal feeds; Fertilisers [animal manure]; Fertilisers for agricultural use; Chemicals for use in agriculture; Chemicals for use in agriculture, horticulture and forestry. UNIVERSITI PUTRA MALAYSIA; Putra Science Park, Universiti Putra Malaysia, 43400 UPM, Serdang, Selangor, MALAYSIA Bhd., L26-07, PJX-HM Shah Tower, No.16A Persiaran Barat, 46050 Petaling Jaya, Selangor",,"Yip Jiun Hann, TRADEMARK2U Sdn Bhd No. 1, Block C, Jalan Dataran SD 1 Dataran SD PJU 9, Bandar Sri Damansara, 52200 Kuala Lumpur"
1,TM2022026477,7 October 2022,,,"Chemicals for use in agriculture; Substrates for soil-free growing [agriculture]; Biofertilizers; Chemical fertilizers; Fertilizer [manure]; Fertilizers; Fertilizers for agricultural use; Fertilizers for lands; Fertilizers for plants; Fertilizers for soil and potting soil; Grass fertilizers; Liquid fertilizers; Mixed fertilizers; Natural fertilizers; Chemicals for use in agriculture, except fungicides, herbicides, insecticides and parasiticides. On-line retail store services featuring chemicals for use in agriculture; On-line wholesale store services featuring chemicals for use in agriculture; Retail services for chemicals for use in agriculture; Wholesale services for chemicals for use in agriculture; The bringing together, for the benefit of others, of a variety of goods, excluding the transport thereof, enabling customers to conveniently view and purchase those goods; Online retail store services featuring agricultural equipment; Online wholesale store services featuring agricultural equipment; Retail services for agricultural equipment; Wholesale services for agricultural equipment. Aerial and surface spreading of fertilizers and other agricultural chemicals; Agricultural advice; Agricultural consultancy; Agricultural services; Leasing of agricultural equipment; Professional consultancy in the field of fertilizers and other agricultural preparations; Providing information relating to the aerial and surface spreading of fertilizers and other agricultural chemicals; Rental of agricultural equipment; Spraying of crop protection products for agricultural purposes; Spreading of fertilizers and other agricultural chemicals. GOLDEN AGROCHEM SDN. BHD. ; FL 24(A), Batu 9, Bintulu/Miri Road, Bintulu 97000 Sarawak, MALAYSIA Jalan Liku, Off Jalan Riong, Bangsar, 59100 Kuala Lumpur",,"Geetha Kandiah, KASS International Sdn. Bhd. Suite 8-13A-2, Menara Mutiara Bangsar, Jalan Liku, Off Jalan Riong, Bangsar, 59100 Kuala Lumpur"
,TM2025009587,27 March 2025,,,"exclusive use of the chinese character meaning brand. Adhesives for floor, ceiling and wall tiles; Adhesives for laying ceramic tiles; Adhesives for the construction industry; Cement-waterproofing chemicals, except paints; Cements for affixing tiles; Cements for laying tiles; Rubber based cements [adhesives] for industrial purposes. ION & ECO GREEN PRODUCT SDN. BHD. ; 47, Jalan Nb2 2/2, Taman Nusa Bestari 2, 81300 Johor Bahru, Johor, MALAYSIA Block I, Persiaran Wawasan, Pusat Bandar Puchong, 47160 Puchong, Selangor",,"Thay Pee Ywai, NBS Intelectual Sdn. Bhd., I-3-3, Block I, Persiaran Wawasan, Pusat Bandar Puchong, 47160"
