Serial Number,Application Date,Class Index,International Priority Date,By Consent Trademark Numbers,Description,Company Name,Agent Details
TM2019034151,17 September 2019,,,,,Lamps and apparatus for lighting;,"Cheah Chiew Lan, Wong & Partners, Level 21 The 
Gardens South Tower, Mid Valley City, Lingkaran Syed 
Putra, 59200 Kuala Lumpur"
TM2019046802,18 December 2019,11,,,,Advertisement boards of paper or cardboard;,"Tee Lin Yik, Tee IP Sdn Bhd,  A-23-01, Penthouse 
Office Ekocheras Office Suites, 693, Jalan Cheras, Batu 5, 
56000 Cheras, Kuala Lumpur"
TM2019047229,20 December 2019,,,,,"Tableware, other than knives, forks and spoons;","Loo Nic Kee, No. 40, Jalan Utama 26 Taman 
Mutiara Rini, 81300 Skudai,  Johor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 6"
TM2018016397,7 December 2018,,"11 September 2018,",,"International priority date claimed : 11 September 2018, Japan",Providing foods and beverages;,"Caroline Anne A/P Francis Xavier Money, Ram 
Caroline Sha & Syah,  Level 31, Menara TH Perdana 1001, 
Jalan Sultan Ismail, 50250 Kuala Lumpur"
TM2018016395,7 December 2018,43,"10 August 2018, Japan",,"International priority date claimed : 10 August 2018, Japan The transliteration and translation of the japanese characters appearing in the mark is ""yakiniku"", ""raiku"" meaning ""japanese dish of grill meat"", ""like""",Providing foods and beverages;,"Teh Hong Koon, Skrine Unit No. 50-8-1, 8th. Floor, 
Wisma UOA Damansara 50 Jalan Dungun, Damansara 
Heights,  50490 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 7"
TM2018019433,31 December 2018,,,2015065552,By consent of the registered proprietor of the trademark no: 2015065552. The transliteration of the chinese characters appearing in the mark is 'wang jin lian ji' which has no meaning. Accommodation reservation services; Arranging of temporary accommodation; Arranging of meals; Cafe services; Cafes; Cafeteria services; Canteen services; Catering services; Cooking services;,Food and drink catering;,"Charmayne Ong Poh Yin, Skrine; Unit No. 50-8-1, 
8th Floor, Wisma UOA Damansara, 50 Jalan Dungun, 
Damansara Heights, 50490 Kuala Lumpur"
TM2020029828,10 December 2020,,,,The trade mark is limited to the colours as shown in the representation on the form of application. Fertilizers; Calcium cyanamide [fertilizer]; Fertilizing preparations;,Fish meal fertilizers;,"Chung Chee Yien, NBS Intellectual Sd"
TM2022016770,5 July 2022,,,,"Disclaimer: ""agritech""",Agricultural chemicals;,"Chung Chee Yien, NBS Intellectual Sdn. Bhd. I-3-
3, Block I, Setiawalk, Persiaran Wawasan Pusat Bandar 
Puchong, 47160 Puchong, Selangor"
TM2022026477,7 October 2022,,,,The trademark is limited to the colours as shown in the representation on the form of application. CLASS 1,Chemicals for use in agriculture;,"Jasdeep Singh A/L Arjan Singh, IP Sense Sdn. 
Bhd., L26-07, PJX-HM Shah Tower, No.16A Persiaran Barat, 
46050 Petaling Jaya, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 10"
TM2025009587,27 March 2025,,,,,Mark translation: “knight;,"Geetha Kandiah, KASS International Sdn. Bhd. Suite 8-13A-2, Menara Mutiara Bangsar, 
Jalan Liku, Off Jalan Riong, Bangsar, 59100 Kuala Lumpur"
